"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"0.041648";"0.041258181945155056";"0.042041339651402776";"41648.0";"41258.181945155055";"42041.339651402785";"282787.087936";"280140.2498512306";"285457.8374219286"
"в";"0.027665";"0.027345348214634194";"0.027988280815696518";"27665.0";"27345.3482146342";"27988.28081569652";"187843.46878";"185673.0548936876";"190038.5235354839"
"не";"0.018993";"0.01872730184758956";"0.019262393811195596";"18993.0";"18727.30184758956";"19262.393811195598";"128961.178476";"127157.10608860747";"130790.34413523895"
"я";"0.01739";"0.0171356375500998";"0.017648070424807642";"17390.0";"17135.6375500998";"17648.070424807644";"118076.91748";"116349.81374182424";"119829.19811565502"
"он";"0.015979";"0.01573508047878568";"0.016226638337075317";"15979.0";"15735.08047878568";"16226.638337075317";"108496.323428";"106840.12646548222";"110177.77089733449"
"что";"0.014973";"0.014736824872680592";"0.015212901672449911";"14973.0";"14736.824872680592";"15212.90167244991";"101665.651836";"100062.03878140988";"103294.56787862116"
"быть";"0.014681";"0.014447123423592185";"0.0149186053650241";"14681.0";"14447.123423592186";"14918.6053650241";"99682.99169200001";"98094.98564179814";"101296.31596334881"
"на";"0.013638";"0.01341253491336116";"0.01386720188880194";"13638.0";"13412.534913361162";"13867.20188880194";"92601.09261600001";"91070.20000934818";"94157.35785523674"
"с";"0.011463";"0.011256226743043576";"0.011673526770015326";"11463.0";"11256.226743043575";"11673.526770015327";"77832.990516";"76429.01416184736";"79262.4529685837"
"то";"0.007114";"0.006951156692202905";"0.007280630234964434";"7114.0";"6951.156692202905";"7280.630234964434";"48303.576248000005";"47197.88126140266";"49434.98421255253"
"а";"0.006921";"0.006760391323143704";"0.00708539708687554";"6921.0";"6760.391323143704";"7085.3970868755405";"46993.119372";"45902.59737753578";"48109.364412883006"
"как";"0.006815";"0.006655632175390374";"0.0069781570490449404";"6815.0";"6655.632175390375";"6978.15704904494";"46273.38658";"45191.28988791272";"47381.21184833581"
"она";"0.006525";"0.006369078174685114";"0.006684713277869641";"6525.0";"6369.0781746851135";"6684.7132778696405";"44304.306300000004";"43245.607708796044";"45388.74859623196"
"этот";"0.006183";"0.006031243994335073";"0.006338550085863988";"6183.0";"6031.243994335073";"6338.550085863988";"41982.149556000004";"40951.736596943534";"43038.32406161064"
"к";"0.006105";"0.005954210411743678";"0.00625958426774268";"6105.0";"5954.210411743678";"6259.58426774268";"41452.53486";"40428.68380943158";"42502.15152624259"
"свой";"0.006069";"0.005918658570179827";"0.006223136385900668";"6069.0";"5918.658570179828";"6223.136385900668";"41208.097308000004";"40187.28922273826";"42254.6728869913"
"который";"0.005978";"0.0058287974848789635";"0.0061309981703700465";"5978.0";"5828.797484878964";"6130.998170370047";"40590.213496000004";"39577.138564099194";"41629.06066893703"
"но";"0.005838";"0.005690567027176257";"0.005989229703716622";"5838.0";"5690.5670271762565";"5989.229703716621";"39639.623016000005";"38638.563155968935";"40666.46242061601"
"весь";"0.005571";"0.00542700267606068";"0.005718796106238717";"5571.0";"5427.00267606068";"5718.796106238718";"37826.711172";"36848.97913427005";"38830.23668322567"
"они";"0.005534";"0.005390485325559078";"0.005681313741017626";"5534.0";"5390.48532555908";"5681.313741017626";"37575.483688";"36601.02880754401";"38575.733972175294"
"по";"0.00551";"0.005366799272801736";"0.005656999978171061";"5510.0";"5366.799272801736";"5656.999978171062";"37412.52532";"36440.20211997324";"38410.64517578299"
"вы";"0.005472";"0.00532929778040277";"0.0056185017625305055";"5472.0";"5329.2977804027705";"5618.501762530505";"37154.507904";"36185.56953668575";"38149.24490946228"
"это";"0.004892";"0.004757136810009712";"0.0050306671891624435";"4892.0";"4757.1368100097125";"5030.667189162444";"33216.347344";"32300.635454662868";"34157.88812904413"
"из";"0.004744";"0.004611211650780237";"0.004880593485501151";"4744.0";"4611.211650780237";"4880.593485501152";"32211.437408";"31309.813546405556";"33138.8978861958"
"мы";"0.004529";"0.004399285141224538";"0.004662521646938504";"4529.0";"4399.285141224538";"4662.521646938504";"30751.602028";"29870.846957525013";"31658.204931240452"
"от";"0.004296";"0.004169700632064186";"0.004426107946277579";"4296.0";"4169.700632064186";"4426.107946277579";"29169.547872000003";"28311.983752072843";"30052.971979884413"
"ты";"0.004264";"0.004138176968993177";"0.004393631855210043";"4264.0";"4138.176968993177";"4393.631855210043";"28952.270048000002";"28097.94022342978";"29832.461529910037"
"так";"0.004214";"0.004088924882805658";"0.004342884325556086";"4214.0";"4088.9248828056584";"4342.884325556086";"28612.773448";"27763.52190735839";"29487.889254391688"
"за";"0.004117";"0.003993388755936459";"0.004244421197692823";"4117.0";"3993.388755936459";"4244.421197692823";"27954.150044";"27114.838102373153";"28819.331311692826"
"его";"0.004087";"0.0039638450261884894";"0.0042139651579359075";"4087.0";"3963.8450261884896";"4213.965157935908";"27750.452084";"26914.238186358063";"28612.536872754077"
"же";"0.003887";"0.0037669311395717477";"0.004010880581186745";"3887.0";"3766.931139571748";"4010.880581186745";"26392.465684000003";"25577.206286374676";"27233.60640637848"
"у";"0.003879";"0.00375905623530083";"0.004002755546923027";"3879.0";"3759.0562353008304";"4002.755546923027";"26338.146228";"25523.736221868636";"27178.437976230165"
"мой";"0.003877";"0.003757087529610662";"0.004000724267979536";"3877.0";"3757.087529610662";"4000.7242679795363";"26324.566364000002";"25510.36884410438";"27164.645730330827"
"один";"0.00381";"0.0036911406463347204";"0.003932671666027899";"3810.0";"3691.1406463347207";"3932.671666027899";"25869.64092";"25062.5939910488";"26702.573190656145"
"все";"0.003572";"0.0034569593731525227";"0.0036908547678046726";"3572.0";"3456.9593731525233";"3690.854767804673";"24253.637104";"23472.519070468257";"25060.652895269515"
"о";"0.003563";"0.0034481062640372264";"0.0036817079460685033";"3563.0";"3448.1062640372265";"3681.707946068503";"24192.527716";"23412.407061586815";"24998.546597664805"
"сказать";"0.003438";"0.003325166128027478";"0.0035546490424745625";"3438.0";"3325.166128027478";"3554.649042474563";"23343.786216";"22577.65189800987";"24135.825282267393"
"мочь";"0.003354";"0.0032425716745118904";"0.003469244141376471";"3354.0";"3242.5716745118907";"3469.2441413764714";"22773.431928";"22016.84117506187";"23555.931811344624"
"да";"0.003141";"0.0030332175148013478";"0.0032525999376023266";"3141.0";"3033.217514801348";"3252.5999376023265";"21327.176412";"20595.340666710148";"22084.93239952404"
"только";"0.00314";"0.0030322349208776666";"0.0032515825392091784";"3140.0";"3032.2349208776673";"3251.582539209179";"21320.38648";"20588.668920784738";"22078.024333617657"
"человек";"0.003115";"0.0030076709852017844";"0.0032261466669643224";"3115.0";"3007.670985201784";"3226.1466669643223";"21150.63818";"20421.881467893123";"21905.316490714395"
"бы";"0.003101";"0.0029939159525605367";"0.003211901807169957";"3101.0";"2993.915952560537";"3211.9018071699575";"21055.579132000003";"20328.48573160127";"21808.59486136112"
"себя";"0.003015";"0.002909433149117858";"0.003124385271365297";"3015.0";"2909.433149117858";"3124.385271365297";"20471.64498";"19754.853241056117";"21214.363534371914"
"для";"0.002982";"0.0028770211143730167";"0.0030907975596547645";"2982.0";"2877.021114373017";"3090.797559654765";"20247.577224";"19534.777729157006";"20986.305255821793"
"тот";"0.002855";"0.0027523150810494276";"0.002961504568741005";"2855.0";"2752.3150810494276";"2961.5045687410056";"19385.25586";"18688.032242900103";"20108.41463944075"
"еще";"0.002647";"0.002548186197244465";"0.0027496350506454287";"2647.0";"2548.186197244466";"2749.6350506454287";"17972.950004000002";"17302.011002628507";"18669.835018699017"
"другой";"0.002618";"0.0025197379289597483";"0.002720083541742089";"2618.0";"2519.7379289597484";"2720.0835417420885";"17776.041976";"17108.849195457522";"18469.18228274795"
"говорить";"0.002587";"0.0024893311260217117";"0.0026884905828584113";"2587.0";"2489.331126021712";"2688.490582858411";"17565.554084";"16902.389071170855";"18254.66824024898"
"такой";"0.002581";"0.0024834463511076332";"0.002682375403871512";"2581.0";"2483.4463511076333";"2682.3754038715124";"17524.814492";"16862.431849668956";"18213.146590760105"
"или";"0.002478";"0.002382445833131191";"0.0025773767132145145";"2478.0";"2382.445833131191";"2577.3767132145144";"16825.451496";"16176.645200644136";"17500.212621110055"
"до";"0.002423";"0.0023285306713258635";"0.002521292297594219";"2423.0";"2328.5306713258633";"2521.292297594219";"16452.005236";"15810.564918216962";"17119.40325278851"
"ни";"0.00231";"0.0022177991231540324";"0.0024060247139643144";"2310.0";"2217.7991231540323";"2406.0247139643147";"15684.74292";"15058.705235875505";"16336.744198137145"
"знать";"0.002289";"0.002197226801395059";"0.002384597197069868";"2289.0";"2197.226801395059";"2384.5971970698683";"15542.154348";"14919.020570049955";"16191.252815495003"
"год";"0.002242";"0.0021511911974237906";"0.002336633162150149";"2242.0";"2151.1911974237905";"2336.633162150149";"15223.027544";"14606.441949506114";"15865.580279944486"
"время";"0.002181";"0.002091458156496774";"0.0022743666717505657";"2181.0";"2091.458156496774";"2274.3666717505657";"14808.841692";"14200.858663458454";"15442.795044252664"
"наш";"0.002139";"0.0020503408784987845";"0.0022314842724417156";"2139.0";"2050.3408784987846";"2231.484272441716";"14523.664548";"13921.67514182701";"15151.626468948725"
"сам";"0.002077";"0.0019896600317420255";"0.002168165595555044";"2077.0";"1989.6600317420255";"2168.165595555044";"14102.688764";"13509.656318646195";"14721.696958558252"
"дело";"0.001971";"0.0018859620795270763";"0.002059864362186065";"1971.0";"1885.9620795270762";"2059.8643621860647";"13382.955972";"12805.55427456744";"13986.338948466751"
"когда";"0.001954";"0.001869337015690268";"0.002042489556636772";"1954.0";"1869.3370156902681";"2042.489556636772";"13267.527128";"12692.671221619854";"13868.36520027383"
"уже";"0.00192";"0.0018360918390193368";"0.0020077349945354993";"1920.0";"1836.091839019337";"2007.7349945354995";"13036.669440000001";"12466.938732696244";"13632.384086916412"
"если";"0.001864";"0.0017813498730853321";"0.0019504773907270513";"1864.0";"1781.3498730853323";"1950.4773907270514";"12656.433248000001";"12095.244506458035";"13243.60885057411"
"ли";"0.001844";"0.0017618037640993946";"0.0019300236533763985";"1844.0";"1761.8037640993946";"1930.0236533763984";"12520.634608";"11962.52775557893";"13104.729364817316"
"вот";"0.001791";"0.0017100186793717314";"0.0018758091453120974";"1791.0";"1710.0186793717317";"1875.8091453120974";"12160.768212";"11610.91055166386";"12736.616541647261"
"во";"0.001714";"0.0016348163937213124";"0.0017970120225666436";"1714.0";"1634.8163937213124";"1797.0120225666435";"11637.943448";"11100.292145852938";"12201.589436409975"
"самый";"0.001679";"0.0016006469348745177";"0.0017611817503244054";"1679.0";"1600.6469348745177";"1761.1817503244054";"11400.295828";"10868.283843806405";"11958.304324343691"
"нет";"0.001616";"0.001539164122685608";"0.0016966650465530554";"1616.0";"1539.164122685608";"1696.6650465530554";"10972.530112";"10450.819729874936";"11520.24029287208"
"при";"0.001584";"0.0015079461345472653";"0.0016638832805528536";"1584.0";"1507.9461345472655";"1663.8832805528536";"10755.252288";"10238.851713238782";"11297.654330890799"
"ее";"0.001528";"0.00145333398570926";"0.0016064958596484062";"1528.0";"1453.3339857092599";"1606.4958596484064";"10375.016096000001";"9868.038936254849";"10907.997645294223"
"какой";"0.001511";"0.0014367603316871747";"0.0015890696442843895";"1511.0";"1436.760331687175";"1589.0696442843896";"10259.587252000001";"9755.504952453362";"10789.674827955194"
"два";"0.001498";"0.0014240879878032674";"0.0015757420880495134";"1498.0";"1424.0879878032674";"1575.7420880495135";"10171.318136";"9669.460599201017";"10699.181627394208"
"теперь";"0.001497";"0.0014231132511203014";"0.0015747168324156497";"1497.0";"1423.1132511203014";"1574.7168324156498";"10164.528204";"9662.842203405771";"10692.220211357659"
"слово";"0.001495";"0.0014211638031750428";"0.0015726662957272492";"1495.0";"1421.1638031750429";"1572.6662957272492";"10150.94834";"9649.605584419925";"10678.297206679914"
"иметь";"0.001472";"0.0013987476092872852";"0.001549082666327928";"1472.0";"1398.7476092872853";"1549.0826663279279";"9994.779904";"9497.401152223236";"10518.16596674532"
"день";"0.001462";"0.0013890028651478592";"0.001538827487299059";"1462.0";"1389.0028651478592";"1538.827487299059";"9926.880584";"9431.235002159134";"10448.533998491474"
"очень";"0.001434";"0.0013617222795193034";"0.0015101082880563884";"1434.0";"1361.7222795193034";"1510.1082880563883";"9736.762488";"9246.001680821062";"10253.53258853929"
"видеть";"0.001383";"0.001312050991138506";"0.0014577799682788802";"1383.0";"1312.0509911385063";"1457.7799682788802";"9390.475956";"8908.73701036306";"9898.226855575755"
"даже";"0.001357";"0.001286737836929986";"0.001431093322249833";"1357.0";"1286.737836929986";"1431.0933222498331";"9213.937724000001";"8736.862414581694";"9717.026343730453"
